id,node_type,wiki_url
Ashmolean Museum,expanded,https://en.wikipedia.org/wiki/Ashmolean_Museum
Assize,expanded,https://en.wikipedia.org/wiki/Assize
Associationism,expanded,https://en.wikipedia.org/wiki/Associationism
Associationist,expanded,https://en.wikipedia.org/wiki/Associationist
Astor House,expanded,https://en.wikipedia.org/wiki/Astor_House
Atheism,expanded,https://en.wikipedia.org/wiki/Atheism
Atheist's Wager,expanded,https://en.wikipedia.org/wiki/Atheist%27s_Wager
Atheistic existentialism,expanded,https://en.wikipedia.org/wiki/Atheistic_existentialism
Atlantic Monthly,expanded,https://en.wikipedia.org/wiki/Atlantic_Monthly
Auguries of Innocence,expanded,https://en.wikipedia.org/wiki/Auguries_of_Innocence
August Wilhelm Schlegel,expanded,https://en.wikipedia.org/wiki/August_Wilhelm_Schlegel
Augustine of Hippo,expanded,https://en.wikipedia.org/wiki/Augustine_of_Hippo
Authenticity (philosophy),expanded,https://en.wikipedia.org/wiki/Authenticity_%28philosophy%29
Avant-garde,expanded,https://en.wikipedia.org/wiki/Avant-garde
Averroes,expanded,https://en.wikipedia.org/wiki/Averroes
Aviation psychology,expanded,https://en.wikipedia.org/wiki/Aviation_psychology
Avicenna,expanded,https://en.wikipedia.org/wiki/Avicenna
B. F. Skinner,expanded,https://en.wikipedia.org/wiki/B._F._Skinner
Bad faith (existentialism),expanded,https://en.wikipedia.org/wiki/Bad_faith_%28existentialism%29
Ballyjamesduff,expanded,https://en.wikipedia.org/wiki/Ballyjamesduff
Barbu Ștefănescu Delavrancea,expanded,https://en.wikipedia.org/wiki/Barbu_%C8%98tef%C4%83nescu_Delavrancea
Baron d'Holbach,expanded,https://en.wikipedia.org/wiki/Baron_d%27Holbach
Barry S. Anton,expanded,https://en.wikipedia.org/wiki/Barry_S._Anton
Baruch Spinoza,expanded,https://en.wikipedia.org/wiki/Baruch_Spinoza
Basic science (psychology),expanded,https://en.wikipedia.org/wiki/Basic_science_%28psychology%29
Basil de Sélincourt,expanded,https://en.wikipedia.org/wiki/Basil_de_S%C3%A9lincourt
Bathsheba Grossman,expanded,https://en.wikipedia.org/wiki/Bathsheba_Grossman
Beat Generation,expanded,https://en.wikipedia.org/wiki/Beat_Generation
Bedřich Smetana,expanded,https://en.wikipedia.org/wiki/Bed%C5%99ich_Smetana
Behavior,expanded,https://en.wikipedia.org/wiki/Behavior
Behavioral epigenetics,expanded,https://en.wikipedia.org/wiki/Behavioral_epigenetics
Behavioral neuroscience,expanded,https://en.wikipedia.org/wiki/Behavioral_neuroscience
Behaviorism,expanded,https://en.wikipedia.org/wiki/Behaviorism
Behavioural genetics,expanded,https://en.wikipedia.org/wiki/Behavioural_genetics
Being in itself,expanded,https://en.wikipedia.org/wiki/Being_in_itself
Ben Jonson,expanded,https://en.wikipedia.org/wiki/Ben_Jonson
Benjamin Britten,expanded,https://en.wikipedia.org/wiki/Benjamin_Britten
